Order ID,Returned
CA-2012-149636,Yes
CA-2012-149650,Yes
CA-2012-150770,Yes
CA-2012-150875,Yes
CA-2012-151547,Yes
CA-2012-153220,Yes
CA-2012-154970,Yes
CA-2012-155761,Yes
CA-2012-156440,Yes
CA-2012-157770,Yes
CA-2012-157812,Yes
CA-2012-161627,Yes
CA-2012-162166,Yes
CA-2012-164882,Yes
CA-2012-168480,Yes
CA-2012-168564,Yes
CA-2012-169397,Yes
CA-2013-104689,Yes
CA-2013-105081,Yes
CA-2013-105291,Yes
CA-2013-105585,Yes
CA-2013-106950,Yes
CA-2013-109806,Yes
CA-2013-109869,Yes
CA-2013-111682,Yes
CA-2013-112123,Yes
CA-2013-112340,Yes
CA-2013-113341,Yes
CA-2013-114307,Yes
CA-2013-114727,Yes
CA-2013-115917,Yes
CA-2013-116547,Yes
CA-2013-116736,Yes
CA-2013-118311,Yes
CA-2013-118500,Yes
CA-2013-118899,Yes
CA-2013-120873,Yes
CA-2013-123526,Yes
CA-2013-124527,Yes
CA-2013-126529,Yes
CA-2013-126732,Yes
CA-2013-128671,Yes
CA-2013-130477,Yes
CA-2013-130638,Yes
CA-2013-130680,Yes
CA-2013-133319,Yes
CA-2013-133368,Yes
CA-2013-133802,Yes
CA-2013-134775,Yes
CA-2013-134803,Yes
CA-2013-136483,Yes
CA-2013-136924,Yes
CA-2013-138282,Yes
CA-2013-139269,Yes
CA-2013-142398,Yes
CA-2013-145261,Yes
CA-2013-145492,Yes
CA-2013-145583,Yes
CA-2013-145919,Yes
CA-2013-145982,Yes
CA-2013-147375,Yes
CA-2013-148796,Yes
CA-2013-150077,Yes
CA-2013-151323,Yes
CA-2013-151372,Yes
CA-2013-152814,Yes
CA-2013-157280,Yes
CA-2013-159023,Yes
CA-2013-159212,Yes
CA-2013-159345,Yes
CA-2013-161746,Yes
CA-2013-162138,Yes
CA-2013-162159,Yes
CA-2013-165330,Yes
CA-2013-166275,Yes
CA-2013-167759,Yes
CA-2013-168921,Yes
CA-2014-100111,Yes
CA-2014-101273,Yes
CA-2014-101574,Yes
CA-2014-101700,Yes
CA-2014-101805,Yes
CA-2014-102519,Yes
CA-2014-103380,Yes
CA-2014-107825,Yes
CA-2014-108294,Yes
CA-2014-108931,Yes
CA-2014-109085,Yes
CA-2014-111556,Yes
CA-2014-112725,Yes
CA-2014-112753,Yes
CA-2014-112865,Yes
CA-2014-113670,Yes
CA-2014-115427,Yes
CA-2014-115994,Yes
CA-2014-117212,Yes
CA-2014-117513,Yes
CA-2014-117926,Yes
CA-2014-118122,Yes
CA-2014-118542,Yes
CA-2014-119284,Yes
CA-2014-121258,Yes
CA-2014-121853,Yes
CA-2014-122007,Yes
CA-2014-122504,Yes
CA-2014-123085,Yes
CA-2014-123491,Yes
CA-2014-124401,Yes
CA-2014-127306,Yes
CA-2014-128965,Yes
CA-2014-129707,Yes
CA-2014-130631,Yes
CA-2014-131492,Yes
CA-2014-131618,Yes
CA-2014-131807,Yes
CA-2014-131828,Yes
CA-2014-132346,Yes
CA-2014-134194,Yes
CA-2014-135692,Yes
CA-2014-136308,Yes
CA-2014-136539,Yes
CA-2014-136651,Yes
CA-2014-137085,Yes
CA-2014-137099,Yes
CA-2014-137414,Yes
CA-2014-137428,Yes
CA-2014-138163,Yes
CA-2014-140053,Yes
CA-2014-140151,Yes
CA-2014-140186,Yes
CA-2014-140585,Yes
CA-2014-140963,Yes
CA-2014-141929,Yes
CA-2014-142328,Yes
CA-2014-142342,Yes
CA-2014-142867,Yes
CA-2014-142888,Yes
CA-2014-143084,Yes
CA-2014-144064,Yes
CA-2014-145128,Yes
CA-2014-145772,Yes
CA-2014-147452,Yes
CA-2014-150609,Yes
CA-2014-150910,Yes
CA-2014-152660,Yes
CA-2014-153822,Yes
CA-2014-154074,Yes
CA-2014-154214,Yes
CA-2014-154949,Yes
CA-2014-155712,Yes
CA-2014-156391,Yes
CA-2014-156958,Yes
CA-2014-157196,Yes
CA-2014-158729,Yes
CA-2014-159954,Yes
CA-2014-161459,Yes
CA-2014-161557,Yes
CA-2014-161956,Yes
CA-2014-162012,Yes
CA-2014-165008,Yes
CA-2014-165491,Yes
CA-2014-166093,Yes
CA-2014-166142,Yes
CA-2014-166898,Yes
CA-2014-167003,Yes
CA-2014-167395,Yes
CA-2014-168193,Yes
CA-2014-169327,Yes
CA-2014-169859,Yes
CA-2014-169894,Yes
ES-2011-1137137,Yes
ES-2011-1141056,Yes
ES-2011-1228490,Yes
ES-2011-1276768,Yes
ES-2011-1443340,Yes
ES-2011-1868803,Yes
ES-2011-2417338,Yes
ES-2011-2835499,Yes
ES-2011-3028321,Yes
ES-2011-3074997,Yes
ES-2011-3106999,Yes
ES-2011-3108517,Yes
ES-2011-3249098,Yes
ES-2011-3305419,Yes
ES-2011-3366039,Yes
ES-2011-3654318,Yes
ES-2011-3864297,Yes
ES-2011-4351366,Yes
ES-2011-4359424,Yes
ES-2011-4694484,Yes
ES-2011-4816650,Yes
ES-2011-5032747,Yes
ES-2011-5118812,Yes
ES-2011-5201850,Yes
ES-2011-5263174,Yes
ES-2011-5273102,Yes
ES-2011-5389664,Yes
ES-2011-5464858,Yes
ES-2011-5803751,Yes
ES-2012-1211902,Yes
ES-2012-1295099,Yes
ES-2012-1363320,Yes
ES-2012-1382586,Yes
ES-2012-1439531,Yes
ES-2012-1484906,Yes
ES-2012-1721838,Yes
ES-2012-1845274,Yes
ES-2012-1986848,Yes
ES-2012-2088434,Yes
ES-2012-2102738,Yes
ES-2012-2212320,Yes
ES-2012-2223096,Yes
ES-2012-2270219,Yes
ES-2012-2280466,Yes
ES-2012-2376426,Yes
ES-2012-2431083,Yes
ES-2012-2680511,Yes
ES-2012-3075381,Yes
ES-2012-3246286,Yes
ES-2012-3327222,Yes
ES-2012-3330001,Yes
ES-2012-3362320,Yes
ES-2012-3471401,Yes
ES-2012-3631542,Yes
ES-2012-3679676,Yes
ES-2012-3697227,Yes
ES-2012-3715659,Yes
ES-2012-4007496,Yes
ES-2012-4079399,Yes
ES-2012-4193401,Yes
ES-2012-4250639,Yes
ES-2012-4286133,Yes
ES-2012-4379168,Yes
ES-2012-4485887,Yes
ES-2012-4662036,Yes
ES-2012-4717022,Yes
ES-2012-4804562,Yes
ES-2012-4829315,Yes
ES-2012-4840257,Yes
ES-2012-4844965,Yes
ES-2012-5207465,Yes
ES-2012-5238758,Yes
ES-2012-5365524,Yes
ES-2012-5466966,Yes
ES-2012-5566923,Yes
ES-2012-5645358,Yes
ES-2012-5745179,Yes
ES-2012-5757351,Yes
ES-2012-5845607,Yes
ES-2012-5897153,Yes
ES-2012-5923089,Yes
ES-2012-5944655,Yes
ES-2012-5959969,Yes
ES-2013-1072619,Yes
ES-2013-1093488,Yes
ES-2013-1217902,Yes
ES-2013-1268416,Yes
ES-2013-1341762,Yes
ES-2013-1525878,Yes
ES-2013-1610512,Yes
ES-2013-1706935,Yes
ES-2013-1713812,Yes
ES-2013-1727818,Yes
ES-2013-1785128,Yes
ES-2013-1795340,Yes
ES-2013-1835691,Yes
ES-2013-1874583,Yes
ES-2013-1906012,Yes
ES-2013-1925248,Yes
ES-2013-2003988,Yes
ES-2013-2048769,Yes
ES-2013-2091965,Yes
ES-2013-2310454,Yes
ES-2013-2335535,Yes
ES-2013-2339975,Yes
ES-2013-2406661,Yes
ES-2013-2491395,Yes
ES-2013-2603153,Yes
ES-2013-2638509,Yes
ES-2013-2639112,Yes
ES-2013-2645491,Yes
ES-2013-2745392,Yes
ES-2013-3007238,Yes
ES-2013-3061639,Yes
ES-2013-3078948,Yes
ES-2013-3093926,Yes
ES-2013-3159008,Yes
ES-2013-3285003,Yes
ES-2013-3323529,Yes
ES-2013-3425110,Yes
ES-2013-3446925,Yes
ES-2013-3508441,Yes
ES-2013-3547323,Yes
ES-2013-3570218,Yes
ES-2013-3877962,Yes
ES-2013-3927096,Yes
ES-2013-3988133,Yes
ES-2013-4009230,Yes
ES-2013-4116050,Yes
ES-2013-4184078,Yes
ES-2013-4190886,Yes
ES-2013-4375143,Yes
ES-2013-4429605,Yes
ES-2013-4441922,Yes
ES-2013-4487295,Yes
ES-2013-4569090,Yes
ES-2013-4650117,Yes
ES-2013-4790317,Yes
ES-2013-4897406,Yes
ES-2013-4972434,Yes
ES-2013-5002349,Yes
ES-2013-5106699,Yes
ES-2013-5239444,Yes
ES-2013-5246151,Yes
ES-2013-5246295,Yes
ES-2013-5259588,Yes
ES-2013-5616549,Yes
ES-2013-5623189,Yes
ES-2013-5648133,Yes
ES-2013-5685466,Yes
ES-2013-5734148,Yes
ES-2013-5746149,Yes
ES-2013-5881573,Yes
ES-2013-5911126,Yes
ES-2014-1006059,Yes
ES-2014-1006842,Yes
ES-2014-1012006,Yes
ES-2014-1015287,Yes
ES-2014-1178010,Yes
ES-2014-1182889,Yes
ES-2014-1193193,Yes
ES-2014-1197792,Yes
ES-2014-1224526,Yes
ES-2014-1325616,Yes
ES-2014-1398657,Yes
ES-2014-1526550,Yes
ES-2014-1620754,Yes
ES-2014-1627638,Yes
ES-2014-1637041,Yes
ES-2014-1651774,Yes
ES-2014-1703772,Yes
ES-2014-1734818,Yes
ES-2014-1873734,Yes
ES-2014-2042578,Yes
ES-2014-2228032,Yes
ES-2014-2280822,Yes
ES-2014-2299862,Yes
ES-2014-2385129,Yes
ES-2014-2411166,Yes
ES-2014-2439745,Yes
ES-2014-2504689,Yes
ES-2014-2524646,Yes
ES-2014-2557751,Yes
ES-2014-2638373,Yes
ES-2014-2697033,Yes
ES-2014-2731678,Yes
ES-2014-2769035,Yes
ES-2014-2783426,Yes
ES-2014-2851130,Yes
ES-2014-2901069,Yes
ES-2014-2905780,Yes
ES-2014-2933395,Yes
ES-2014-2979530,Yes
ES-2014-3277356,Yes
ES-2014-3380674,Yes
ES-2014-3424970,Yes
ES-2014-3609825,Yes
ES-2014-3638264,Yes
ES-2014-3730302,Yes
ES-2014-4079805,Yes
ES-2014-4147581,Yes
ES-2014-4295205,Yes
ES-2014-4359397,Yes
ES-2014-4385660,Yes
ES-2014-4387160,Yes
ES-2014-4401602,Yes
ES-2014-4442693,Yes
ES-2014-4472745,Yes
ES-2014-4505254,Yes
ES-2014-4535588,Yes
ES-2014-4598380,Yes
ES-2014-4616921,Yes
ES-2014-4626156,Yes
ES-2014-4790238,Yes
ES-2014-4856325,Yes
ES-2014-4963892,Yes
ES-2014-4967939,Yes
ES-2014-5060319,Yes
ES-2014-5166372,Yes
ES-2014-5247585,Yes
ES-2014-5275437,Yes
ES-2014-5296123,Yes
ES-2014-5297792,Yes
ES-2014-5368780,Yes
ES-2014-5385720,Yes
ES-2014-5389384,Yes
ES-2014-5438886,Yes
ES-2014-5444511,Yes
ES-2014-5513140,Yes
ES-2014-5621218,Yes
ES-2014-5666305,Yes
ES-2014-5706764,Yes
ES-2014-5710826,Yes
ES-2014-5762425,Yes
ES-2014-5822421,Yes
ES-2014-5830221,Yes
ES-2014-5835827,Yes
ES-2014-5891109,Yes
ES-2014-5900887,Yes
ID-2011-17286,Yes
ID-2011-20604,Yes
ID-2011-20975,Yes
ID-2011-20989,Yes
ID-2011-22011,Yes
ID-2011-23068,Yes
ID-2011-23593,Yes
ID-2011-24160,Yes
ID-2011-27779,Yes
ID-2011-33295,Yes
ID-2011-49031,Yes
ID-2011-50655,Yes
ID-2011-55142,Yes
ID-2011-57718,Yes
ID-2011-59293,Yes
ID-2011-64599,Yes
ID-2011-65124,Yes
ID-2011-69142,Yes
ID-2011-72096,Yes
ID-2011-75652,Yes
ID-2011-77619,Yes
ID-2011-78592,Yes
ID-2012-13982,Yes
ID-2012-16257,Yes
ID-2012-21563,Yes
ID-2012-28255,Yes
ID-2012-32350,Yes
ID-2012-44173,Yes
ID-2012-57193,Yes
ID-2012-62345,Yes
ID-2012-70857,Yes
ID-2012-72453,Yes
ID-2012-85095,Yes
ID-2013-13562,Yes
ID-2013-22025,Yes
ID-2013-23495,Yes
ID-2013-29662,Yes
ID-2013-34051,Yes
ID-2013-36312,Yes
ID-2013-41968,Yes
ID-2013-48709,Yes
ID-2013-51446,Yes
ID-2013-52643,Yes
ID-2013-59566,Yes
ID-2013-60637,Yes
ID-2013-64060,Yes
ID-2013-64970,Yes
ID-2013-67693,Yes
ID-2013-68498,Yes
ID-2013-72362,Yes
ID-2013-74357,Yes
ID-2013-74875,Yes
ID-2013-78795,Yes
ID-2013-79117,Yes
ID-2013-83975,Yes
ID-2013-85074,Yes
ID-2014-11098,Yes
ID-2014-15186,Yes
ID-2014-16474,Yes
ID-2014-17475,Yes
ID-2014-25707,Yes
ID-2014-33680,Yes
ID-2014-35374,Yes
ID-2014-39084,Yes
ID-2014-41191,Yes
ID-2014-45580,Yes
ID-2014-56339,Yes
ID-2014-56752,Yes
ID-2014-64914,Yes
ID-2014-68505,Yes
ID-2014-71403,Yes
ID-2014-86033,Yes
IN-2011-10419,Yes
IN-2011-11889,Yes
IN-2011-12806,Yes
IN-2011-13492,Yes
IN-2011-14017,Yes
IN-2011-17594,Yes
IN-2011-23712,Yes
IN-2011-23789,Yes
IN-2011-24069,Yes
IN-2011-25070,Yes
IN-2011-30894,Yes
IN-2011-31020,Yes
IN-2011-33183,Yes
IN-2011-33890,Yes
IN-2011-35857,Yes
IN-2011-36074,Yes
IN-2011-36179,Yes
IN-2011-38965,Yes
IN-2011-40568,Yes
IN-2011-50361,Yes
IN-2011-50613,Yes
IN-2011-52125,Yes
IN-2011-53203,Yes
IN-2011-54533,Yes
IN-2011-56451,Yes
IN-2011-56486,Yes
IN-2011-56738,Yes
IN-2011-58341,Yes
IN-2011-59013,Yes
IN-2011-60196,Yes
IN-2011-60560,Yes
IN-2011-62331,Yes
IN-2011-63808,Yes
IN-2011-64361,Yes
IN-2011-72502,Yes
IN-2011-73055,Yes
IN-2011-76758,Yes
IN-2011-85284,Yes
IN-2011-86278,Yes
IN-2011-86642,Yes
IN-2012-10986,Yes
IN-2012-12477,Yes
IN-2012-13772,Yes
IN-2012-16572,Yes
IN-2012-16845,Yes
IN-2012-17783,Yes
IN-2012-19995,Yes
IN-2012-23089,Yes
IN-2012-24132,Yes
IN-2012-24783,Yes
IN-2012-25371,Yes
IN-2012-26757,Yes
IN-2012-27597,Yes
IN-2012-28024,Yes
IN-2012-28493,Yes
IN-2012-29228,Yes
IN-2012-30572,Yes
IN-2012-31944,Yes
IN-2012-32882,Yes
IN-2012-33918,Yes
IN-2012-35990,Yes
IN-2012-36088,Yes
IN-2012-36788,Yes
IN-2012-39336,Yes
IN-2012-39889,Yes
IN-2012-41261,Yes
IN-2012-41415,Yes
IN-2012-44194,Yes
IN-2012-44509,Yes
IN-2012-44691,Yes
IN-2012-44810,Yes
IN-2012-45972,Yes
IN-2012-48744,Yes
IN-2012-49864,Yes
IN-2012-52524,Yes
IN-2012-52657,Yes
IN-2012-56178,Yes
IN-2012-56682,Yes
IN-2012-59391,Yes
IN-2012-63934,Yes
IN-2012-64116,Yes
IN-2012-66531,Yes
IN-2012-67791,Yes
IN-2012-68897,Yes
IN-2012-68911,Yes
IN-2012-69044,Yes
IN-2012-69072,Yes
IN-2012-69870,Yes
IN-2012-70073,Yes
IN-2012-73216,Yes
IN-2012-75134,Yes
IN-2012-75211,Yes
IN-2012-78067,Yes
IN-2012-78865,Yes
IN-2012-80370,Yes
IN-2012-81812,Yes
IN-2012-83380,Yes
IN-2012-85935,Yes
IN-2013-12715,Yes
IN-2013-12736,Yes
IN-2013-13786,Yes
IN-2013-14409,Yes
IN-2013-14437,Yes
IN-2013-15466,Yes
IN-2013-17041,Yes
IN-2013-17699,Yes
IN-2013-18175,Yes
IN-2013-18497,Yes
IN-2013-19071,Yes
IN-2013-19400,Yes
IN-2013-19645,Yes
IN-2013-20548,Yes
IN-2013-21003,Yes
IN-2013-22298,Yes
IN-2013-22571,Yes
IN-2013-25112,Yes
IN-2013-25245,Yes
IN-2013-27828,Yes
IN-2013-33204,Yes
IN-2013-35087,Yes
IN-2013-35304,Yes
IN-2013-38174,Yes
IN-2013-40218,Yes
IN-2013-41198,Yes
IN-2013-42192,Yes
IN-2013-47911,Yes
IN-2013-48184,Yes
IN-2013-48807,Yes
IN-2013-49318,Yes
IN-2013-51243,Yes
IN-2013-51775,Yes
IN-2013-53140,Yes
IN-2013-55135,Yes
IN-2013-55639,Yes
IN-2013-56689,Yes
IN-2013-59160,Yes
IN-2013-59454,Yes
IN-2013-64578,Yes
IN-2013-64977,Yes
IN-2013-65068,Yes
IN-2013-68449,Yes
IN-2013-69128,Yes
IN-2013-70990,Yes
IN-2013-77878,Yes
IN-2013-84584,Yes
IN-2014-10979,Yes
IN-2014-11637,Yes
IN-2014-14003,Yes
IN-2014-15011,Yes
IN-2014-15676,Yes
IN-2014-16929,Yes
IN-2014-17027,Yes
IN-2014-17160,Yes
IN-2014-17615,Yes
IN-2014-18441,Yes
IN-2014-19911,Yes
IN-2014-21059,Yes
IN-2014-23481,Yes
IN-2014-23929,Yes
IN-2014-24531,Yes
IN-2014-25637,Yes
IN-2014-27863,Yes
IN-2014-28640,Yes
IN-2014-29767,Yes
IN-2014-30173,Yes
IN-2014-30649,Yes
IN-2014-31356,Yes
IN-2014-31790,Yes
IN-2014-32091,Yes
IN-2014-35346,Yes
IN-2014-35395,Yes
IN-2014-37033,Yes
IN-2014-37712,Yes
IN-2014-38006,Yes
IN-2014-38356,Yes
IN-2014-39371,Yes
IN-2014-39931,Yes
IN-2014-41093,Yes
IN-2014-41814,Yes
IN-2014-43039,Yes
IN-2014-43410,Yes
IN-2014-43571,Yes
IN-2014-44012,Yes
IN-2014-44719,Yes
IN-2014-46007,Yes
IN-2014-46595,Yes
IN-2014-46665,Yes
IN-2014-47799,Yes
IN-2014-47848,Yes
IN-2014-49402,Yes
IN-2014-50158,Yes
IN-2014-51607,Yes
IN-2014-51985,Yes
IN-2014-52384,Yes
IN-2014-54708,Yes
IN-2014-54995,Yes
IN-2014-57683,Yes
IN-2014-58460,Yes
IN-2014-58607,Yes
IN-2014-60476,Yes
IN-2014-61260,Yes
IN-2014-61932,Yes
IN-2014-62275,Yes
IN-2014-62338,Yes
IN-2014-62366,Yes
IN-2014-64347,Yes
IN-2014-66062,Yes
IN-2014-66573,Yes
IN-2014-68008,Yes
IN-2014-68337,Yes
IN-2014-69205,Yes
IN-2014-71907,Yes
IN-2014-71956,Yes
IN-2014-72278,Yes
IN-2014-72747,Yes
IN-2014-73447,Yes
IN-2014-73972,Yes
IN-2014-75470,Yes
IN-2014-75855,Yes
IN-2014-77339,Yes
IN-2014-77941,Yes
IN-2014-79593,Yes
IN-2014-84353,Yes
IN-2014-84948,Yes
IT-2011-1521406,Yes
IT-2011-1646767,Yes
IT-2011-2536577,Yes
IT-2011-2861112,Yes
IT-2011-2911544,Yes
IT-2011-3468929,Yes
IT-2011-4648014,Yes
IT-2011-4812190,Yes
IT-2011-4913414,Yes
IT-2012-1180980,Yes
IT-2012-3091951,Yes
IT-2012-3613157,Yes
IT-2012-3746228,Yes
IT-2012-3986604,Yes
IT-2012-5711400,Yes
IT-2013-1498487,Yes
IT-2013-1665440,Yes
IT-2013-2280110,Yes
IT-2013-2720003,Yes
IT-2013-3060899,Yes
IT-2013-3132916,Yes
IT-2013-3159247,Yes
IT-2013-3253363,Yes
IT-2013-3395178,Yes
IT-2013-3468927,Yes
IT-2013-3876077,Yes
IT-2013-4354136,Yes
IT-2013-4864604,Yes
IT-2013-4869515,Yes
IT-2013-4962578,Yes
IT-2014-1082723,Yes
IT-2014-1147467,Yes
IT-2014-1725451,Yes
IT-2014-1858881,Yes
IT-2014-2068457,Yes
IT-2014-2277753,Yes
IT-2014-2508683,Yes
IT-2014-3831682,Yes
IT-2014-3941500,Yes
IT-2014-4273010,Yes
IT-2014-4499061,Yes
IT-2014-4920177,Yes
IT-2014-5465876,Yes
IT-2014-5470294,Yes
IT-2014-5517515,Yes
MX-2011-101518,Yes
MX-2011-105298,Yes
MX-2011-106390,Yes
MX-2011-108077,Yes
MX-2011-108560,Yes
MX-2011-108749,Yes
MX-2011-114685,Yes
MX-2011-115490,Yes
MX-2011-116218,Yes
MX-2011-119977,Yes
MX-2011-120719,Yes
MX-2011-121671,Yes
MX-2011-122735,Yes
MX-2011-124170,Yes
MX-2011-124688,Yes
MX-2011-126592,Yes
MX-2011-127089,Yes
MX-2011-127670,Yes
MX-2011-128356,Yes
MX-2011-131478,Yes
MX-2011-131688,Yes
MX-2011-132815,Yes
MX-2011-133564,Yes
MX-2011-133627,Yes
MX-2011-136546,Yes
MX-2011-136602,Yes
MX-2011-138716,Yes
MX-2011-141467,Yes
MX-2011-142545,Yes
MX-2011-144827,Yes
MX-2011-145870,Yes
MX-2011-145884,Yes
MX-2011-146479,Yes
MX-2011-147039,Yes
MX-2011-147816,Yes
MX-2011-155159,Yes
MX-2011-155572,Yes
MX-2011-156755,Yes
MX-2011-157000,Yes
MX-2011-157539,Yes
MX-2011-162488,Yes
MX-2011-168662,Yes
MX-2011-169467,Yes
MX-2012-101021,Yes
MX-2012-101854,Yes
MX-2012-104269,Yes
MX-2012-104423,Yes
MX-2012-105424,Yes
MX-2012-105662,Yes
MX-2012-106229,Yes
MX-2012-109134,Yes
MX-2012-111178,Yes
MX-2012-111430,Yes
MX-2012-112662,Yes
MX-2012-113768,Yes
MX-2012-113817,Yes
MX-2012-115070,Yes
MX-2012-115945,Yes
MX-2012-119907,Yes
MX-2012-122553,Yes
MX-2012-124975,Yes
MX-2012-125283,Yes
MX-2012-125808,Yes
MX-2012-126606,Yes
MX-2012-128363,Yes
MX-2012-129560,Yes
MX-2012-133165,Yes
MX-2012-133480,Yes
MX-2012-133732,Yes
MX-2012-133942,Yes
MX-2012-134446,Yes
MX-2012-136042,Yes
MX-2012-142090,Yes
MX-2012-142664,Yes
MX-2012-143175,Yes
MX-2012-143826,Yes
MX-2012-147977,Yes
MX-2012-148054,Yes
MX-2012-148180,Yes
MX-2012-148586,Yes
MX-2012-149454,Yes
MX-2012-149461,Yes
MX-2012-149832,Yes
MX-2012-150910,Yes
MX-2012-151904,Yes
MX-2012-152905,Yes
MX-2012-153325,Yes
MX-2012-154088,Yes
MX-2012-154179,Yes
MX-2012-156720,Yes
MX-2012-158022,Yes
MX-2012-159646,Yes
MX-2012-159674,Yes
MX-2012-160388,Yes
MX-2012-160612,Yes
MX-2012-161452,Yes
MX-2012-161704,Yes
MX-2012-164777,Yes
MX-2012-166730,Yes
MX-2013-101077,Yes
MX-2013-101210,Yes
MX-2013-101455,Yes
MX-2013-103492,Yes
MX-2013-107167,Yes
MX-2013-109771,Yes
MX-2013-110135,Yes
MX-2013-110149,Yes
MX-2013-110828,Yes
MX-2013-110933,Yes
MX-2013-111010,Yes
MX-2013-111073,Yes
MX-2013-111388,Yes
MX-2013-111500,Yes
MX-2013-112956,Yes
MX-2013-115434,Yes
MX-2013-115630,Yes
MX-2013-115805,Yes
MX-2013-116946,Yes
MX-2013-117415,Yes
MX-2013-117856,Yes
MX-2013-118038,Yes
MX-2013-118402,Yes
MX-2013-119879,Yes
MX-2013-121160,Yes
MX-2013-121545,Yes
MX-2013-123386,Yes
MX-2013-125696,Yes
MX-2013-126144,Yes
MX-2013-128027,Yes
MX-2013-128440,Yes
MX-2013-129588,Yes
MX-2013-131142,Yes
MX-2013-131247,Yes
MX-2013-131660,Yes
MX-2013-133074,Yes
MX-2013-133690,Yes
MX-2013-134194,Yes
MX-2013-134831,Yes
MX-2013-135916,Yes
MX-2013-136224,Yes
MX-2013-137155,Yes
MX-2013-137610,Yes
MX-2013-137729,Yes
MX-2013-139948,Yes
MX-2013-141159,Yes
MX-2013-141901,Yes
MX-2013-143301,Yes
MX-2013-145107,Yes
MX-2013-146073,Yes
MX-2013-147634,Yes
MX-2013-147844,Yes
MX-2013-148628,Yes
MX-2013-150140,Yes
MX-2013-152814,Yes
MX-2013-152912,Yes
MX-2013-153094,Yes
MX-2013-153920,Yes
MX-2013-157007,Yes
MX-2013-159100,Yes
MX-2013-159114,Yes
MX-2013-160948,Yes
MX-2013-163797,Yes
MX-2013-167213,Yes
MX-2013-167913,Yes
MX-2013-168123,Yes
MX-2013-168137,Yes
MX-2013-168228,Yes
MX-2013-168739,Yes
MX-2013-169495,Yes
MX-2014-100895,Yes
MX-2014-102246,Yes
MX-2014-102995,Yes
MX-2014-103149,Yes
MX-2014-103478,Yes
MX-2014-103919,Yes
MX-2014-104122,Yes
MX-2014-105641,Yes
MX-2014-106978,Yes
MX-2014-107279,Yes
MX-2014-108973,Yes
MX-2014-111633,Yes
MX-2014-111899,Yes
MX-2014-112585,Yes
MX-2014-114545,Yes
MX-2014-114601,Yes
MX-2014-114783,Yes
MX-2014-117240,Yes
MX-2014-117744,Yes
MX-2014-120607,Yes
MX-2014-121377,Yes
MX-2014-125332,Yes
MX-2014-125661,Yes
MX-2014-126165,Yes
MX-2014-126221,Yes
MX-2014-126298,Yes
MX-2014-127733,Yes
MX-2014-130309,Yes
MX-2014-130694,Yes
MX-2014-131268,Yes
MX-2014-131366,Yes
MX-2014-132927,Yes
MX-2014-134222,Yes
MX-2014-135328,Yes
MX-2014-135706,Yes
MX-2014-135867,Yes
MX-2014-138233,Yes
MX-2014-139367,Yes
MX-2014-139591,Yes
MX-2014-141922,Yes
MX-2014-142244,Yes
MX-2014-142601,Yes
MX-2014-142643,Yes
MX-2014-142874,Yes
MX-2014-143595,Yes
MX-2014-145429,Yes
MX-2014-147599,Yes
MX-2014-148285,Yes
MX-2014-148509,Yes
MX-2014-149881,Yes
MX-2014-150868,Yes
